epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503431505,2018-08-29T09:43:51.505,4.846,-1.280,0.122,0.305
1535503431629,2018-08-29T09:43:51.629,4.970,-0.366,0.000,0.549
1535503431629,2018-08-29T09:43:51.629,4.970,-0.549,0.305,0.549
1535503431629,2018-08-29T09:43:51.629,4.970,-1.280,0.244,0.244
1535503431753,2018-08-29T09:43:51.753,5.094,-1.707,-0.122,0.671
1535503431753,2018-08-29T09:43:51.753,5.094,-1.707,-0.061,0.244
1535503431753,2018-08-29T09:43:51.753,5.094,-1.585,-0.305,-0.244
1535503431866,2018-08-29T09:43:51.866,5.207,-1.463,-0.549,0.183
1535503431866,2018-08-29T09:43:51.866,5.207,-1.280,-0.305,0.305
1535503431866,2018-08-29T09:43:51.866,5.207,-0.793,0.000,0.915
1535503431989,2018-08-29T09:43:51.989,5.330,-0.671,0.366,0.610
1535503431989,2018-08-29T09:43:51.989,5.330,-0.793,0.244,0.732
1535503431989,2018-08-29T09:43:51.989,5.330,-1.159,-0.061,0.427
1535503432113,2018-08-29T09:43:52.113,5.454,-1.098,-0.244,0.183
1535503432113,2018-08-29T09:43:52.113,5.454,-1.159,-0.244,0.366
1535503432113,2018-08-29T09:43:52.113,5.454,-1.524,-0.244,-0.061
1535503432236,2018-08-29T09:43:52.236,5.577,-1.463,-0.244,0.427
1535503432236,2018-08-29T09:43:52.236,5.577,-1.280,0.061,0.366
1535503432236,2018-08-29T09:43:52.236,5.577,-1.159,0.122,0.488
1535503432360,2018-08-29T09:43:52.360,5.701,-1.463,-0.061,0.549
1535503432360,2018-08-29T09:43:52.360,5.701,-1.098,-0.122,0.427
1535503432360,2018-08-29T09:43:52.360,5.701,-1.098,-0.244,0.305
1535503432475,2018-08-29T09:43:52.475,5.816,-1.402,0.061,0.305
1535503432475,2018-08-29T09:43:52.475,5.816,-0.427,0.061,0.488
1535503432475,2018-08-29T09:43:52.475,5.816,-0.610,0.366,0.610
1535503432598,2018-08-29T09:43:52.598,5.939,-1.585,0.488,0.183
1535503432598,2018-08-29T09:43:52.598,5.939,-2.195,0.305,0.671
1535503432598,2018-08-29T09:43:52.598,5.939,-2.195,0.305,0.183
1535503432723,2018-08-29T09:43:52.723,6.064,-2.073,-0.122,0.183
1535503432723,2018-08-29T09:43:52.723,6.064,-1.768,-0.610,0.183
1535503432723,2018-08-29T09:43:52.723,6.064,-1.341,-0.854,0.061
1535503432845,2018-08-29T09:43:52.845,6.186,-0.671,-0.671,0.793
1535503432845,2018-08-29T09:43:52.845,6.186,-0.671,0.122,0.427
1535503432845,2018-08-29T09:43:52.845,6.186,-0.488,0.305,0.854
1535503432958,2018-08-29T09:43:52.958,6.299,-1.159,-0.061,0.854
1535503432958,2018-08-29T09:43:52.958,6.299,-1.098,0.000,0.427
1535503432958,2018-08-29T09:43:52.958,6.299,-0.976,0.000,0.549
1535503433082,2018-08-29T09:43:53.082,6.423,-1.768,-0.183,0.244
1535503433082,2018-08-29T09:43:53.082,6.423,-1.646,-0.244,0.488
1535503433082,2018-08-29T09:43:53.082,6.423,-1.402,-0.061,0.305
1535503433206,2018-08-29T09:43:53.206,6.547,-1.280,0.122,0.366
1535503433206,2018-08-29T09:43:53.206,6.547,-1.341,0.183,0.183
1535503433206,2018-08-29T09:43:53.206,6.547,-1.220,-0.061,0.488
1535503433328,2018-08-29T09:43:53.328,6.669,-0.976,-0.183,0.427
1535503433328,2018-08-29T09:43:53.328,6.669,-1.159,-0.061,0.488
1535503433328,2018-08-29T09:43:53.328,6.669,-0.183,-0.122,0.488
1535503433454,2018-08-29T09:43:53.454,6.795,-0.183,0.122,0.549
1535503433454,2018-08-29T09:43:53.454,6.795,-0.915,0.305,0.244
1535503433454,2018-08-29T09:43:53.454,6.795,-1.768,0.000,0.366
1535503433566,2018-08-29T09:43:53.566,6.907,-1.768,0.061,0.244
1535503433566,2018-08-29T09:43:53.566,6.907,-1.646,-0.122,-0.366
1535503433566,2018-08-29T09:43:53.566,6.907,-1.585,-0.305,-0.305
1535503433688,2018-08-29T09:43:53.688,7.029,-1.707,-0.183,-0.183
1535503433688,2018-08-29T09:43:53.688,7.029,-0.976,-0.061,0.427
1535503433688,2018-08-29T09:43:53.688,7.029,-0.793,0.366,0.732
1535503433811,2018-08-29T09:43:53.811,7.152,-0.488,0.610,0.122
1535503433811,2018-08-29T09:43:53.811,7.152,-0.976,0.305,0.305
1535503433811,2018-08-29T09:43:53.811,7.152,-1.159,0.122,-0.366
1535503433937,2018-08-29T09:43:53.937,7.278,-1.341,0.183,-0.244
1535503433937,2018-08-29T09:43:53.937,7.278,-1.646,0.061,-0.549
1535503433937,2018-08-29T09:43:53.937,7.278,-1.768,0.305,-0.488
1535503434062,2018-08-29T09:43:54.062,7.403,-1.646,0.488,-0.549
1535503434062,2018-08-29T09:43:54.062,7.403,-1.585,0.549,-0.488
1535503434062,2018-08-29T09:43:54.062,7.403,-1.829,0.549,-0.488
1535503434174,2018-08-29T09:43:54.174,7.515,-1.524,0.427,-0.366
1535503434174,2018-08-29T09:43:54.174,7.515,-1.890,0.183,-0.793
1535503434174,2018-08-29T09:43:54.174,7.515,-1.768,0.244,-0.488
1535503434297,2018-08-29T09:43:54.297,7.638,-1.341,0.183,-0.427
1535503434297,2018-08-29T09:43:54.297,7.638,-1.463,0.122,-0.366
1535503434297,2018-08-29T09:43:54.297,7.638,-1.585,-0.244,-0.183
1535503434421,2018-08-29T09:43:54.421,7.762,-1.463,-0.366,0.305
1535503434421,2018-08-29T09:43:54.421,7.762,-1.524,-0.244,0.183
1535503434421,2018-08-29T09:43:54.421,7.762,-1.159,-0.305,0.183
1535503434544,2018-08-29T09:43:54.544,7.885,-0.854,-0.549,0.549
1535503434544,2018-08-29T09:43:54.544,7.885,-0.244,-0.488,0.915
1535503434544,2018-08-29T09:43:54.544,7.885,0.366,-0.244,1.585
1535503434657,2018-08-29T09:43:54.657,7.998,0.427,0.183,0.976
1535503434657,2018-08-29T09:43:54.657,7.998,0.793,-0.244,1.341
1535503434657,2018-08-29T09:43:54.657,7.998,-0.061,-0.671,0.854
1535503434780,2018-08-29T09:43:54.780,8.121,-0.122,-0.610,0.854
1535503434780,2018-08-29T09:43:54.780,8.121,-0.732,-0.610,0.732
1535503434780,2018-08-29T09:43:54.780,8.121,-0.915,-0.366,0.610
1535503434903,2018-08-29T09:43:54.903,8.244,-0.976,-0.244,0.732
1535503434903,2018-08-29T09:43:54.903,8.244,-1.098,-0.183,0.854
1535503434903,2018-08-29T09:43:54.903,8.244,-1.341,0.061,0.732
1535503435029,2018-08-29T09:43:55.029,8.370,-1.159,0.122,0.732
1535503435029,2018-08-29T09:43:55.029,8.370,-1.341,0.122,0.488
1535503435029,2018-08-29T09:43:55.029,8.370,-1.220,0.427,0.610
1535503435152,2018-08-29T09:43:55.152,8.493,-0.488,0.061,0.854
1535503435152,2018-08-29T09:43:55.152,8.493,-0.366,0.244,0.793
1535503435152,2018-08-29T09:43:55.152,8.493,-1.037,0.183,0.793
1535503435263,2018-08-29T09:43:55.263,8.604,-1.524,-0.122,0.793
1535503435263,2018-08-29T09:43:55.263,8.604,-1.524,-0.122,0.549
1535503435263,2018-08-29T09:43:55.263,8.604,-1.402,-0.305,0.061
1535503435387,2018-08-29T09:43:55.387,8.728,-1.585,-0.427,0.061
1535503435387,2018-08-29T09:43:55.387,8.728,-1.585,-0.244,0.366
1535503435387,2018-08-29T09:43:55.387,8.728,-1.280,0.000,0.915
1535503435512,2018-08-29T09:43:55.512,8.853,-1.098,0.305,0.854
1535503435512,2018-08-29T09:43:55.512,8.853,-0.915,0.244,0.671
1535503435512,2018-08-29T09:43:55.512,8.853,-1.341,-0.061,0.854
1535503435636,2018-08-29T09:43:55.636,8.977,-1.220,-0.061,0.427
1535503435636,2018-08-29T09:43:55.636,8.977,-1.402,-0.122,0.305
1535503435636,2018-08-29T09:43:55.636,8.977,-1.707,-0.244,0.244
1535503435760,2018-08-29T09:43:55.760,9.101,-1.585,-0.122,0.244
1535503435760,2018-08-29T09:43:55.760,9.101,-1.463,-0.183,0.549
1535503435760,2018-08-29T09:43:55.760,9.101,-1.159,-0.122,0.427
1535503435873,2018-08-29T09:43:55.873,9.214,-1.220,-0.061,0.427
1535503435873,2018-08-29T09:43:55.873,9.214,-1.402,-0.061,0.366
1535503435873,2018-08-29T09:43:55.873,9.214,-1.402,-0.183,0.366
