epoch (ms),time (18:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1535604047286,2018-08-30T13:40:47.286,9.247,-0.126,0.992,-0.057
1535604047286,2018-08-30T13:40:47.286,9.247,-0.140,0.812,0.062
1535604047286,2018-08-30T13:40:47.286,9.247,-0.147,0.798,0.113
1535604047534,2018-08-30T13:40:47.534,9.495,-0.146,0.909,0.193
1535604047534,2018-08-30T13:40:47.534,9.495,-0.162,1.123,0.243
1535604047534,2018-08-30T13:40:47.534,9.495,-0.184,1.274,0.271
1535604047770,2018-08-30T13:40:47.770,9.731,-0.051,0.802,0.109
1535604047770,2018-08-30T13:40:47.770,9.731,-0.033,0.796,0.164
1535604047770,2018-08-30T13:40:47.770,9.731,-0.076,0.913,0.227
1535604048018,2018-08-30T13:40:48.018,9.979,-0.153,0.787,0.266
1535604048018,2018-08-30T13:40:48.018,9.979,-0.027,0.767,0.279
1535604048018,2018-08-30T13:40:48.018,9.979,-0.025,1.046,0.383
1535604048264,2018-08-30T13:40:48.264,10.225,-0.073,1.212,0.457
1535604048264,2018-08-30T13:40:48.264,10.225,-0.183,0.814,0.245
1535604048264,2018-08-30T13:40:48.264,10.225,-0.229,0.905,0.157
1535604048512,2018-08-30T13:40:48.512,10.473,-0.131,0.922,0.216
1535604048512,2018-08-30T13:40:48.512,10.473,-0.119,0.731,0.234
1535604048512,2018-08-30T13:40:48.512,10.473,-0.123,0.816,0.264
1535604048749,2018-08-30T13:40:48.749,10.710,-0.115,1.028,0.336
1535604048749,2018-08-30T13:40:48.749,10.710,-0.156,1.180,0.387
1535604048749,2018-08-30T13:40:48.749,10.710,-0.031,1.014,0.146
1535604048985,2018-08-30T13:40:48.985,10.946,-0.064,0.865,0.187
1535604048985,2018-08-30T13:40:48.985,10.946,-0.134,0.814,0.202
1535604048985,2018-08-30T13:40:48.985,10.946,-0.032,0.720,0.274
1535604049232,2018-08-30T13:40:49.232,11.193,-0.066,0.851,0.358
1535604049232,2018-08-30T13:40:49.232,11.193,-0.129,1.044,0.374
1535604049232,2018-08-30T13:40:49.232,11.193,-0.163,1.167,0.378
1535604049480,2018-08-30T13:40:49.480,11.441,-0.219,0.857,0.221
1535604049480,2018-08-30T13:40:49.480,11.441,-0.240,0.956,0.218
1535604049480,2018-08-30T13:40:49.480,11.441,-0.104,0.807,0.206
1535604049716,2018-08-30T13:40:49.716,11.677,-0.141,0.714,0.221
1535604049716,2018-08-30T13:40:49.716,11.677,-0.207,0.863,0.247
1535604049716,2018-08-30T13:40:49.716,11.677,-0.169,1.060,0.302
1535604049963,2018-08-30T13:40:49.963,11.924,-0.151,1.206,0.341
1535604049963,2018-08-30T13:40:49.963,11.924,-0.024,1.027,0.176
1535604049963,2018-08-30T13:40:49.963,11.924,0.011,0.807,0.140
1535604050211,2018-08-30T13:40:50.211,12.172,-0.135,0.932,0.203
1535604050211,2018-08-30T13:40:50.211,12.172,-0.046,0.816,0.239
1535604050211,2018-08-30T13:40:50.211,12.172,-0.017,0.786,0.305
1535604050447,2018-08-30T13:40:50.447,12.408,-0.037,0.833,0.347
1535604050447,2018-08-30T13:40:50.447,12.408,-0.102,1.182,0.395
1535604050447,2018-08-30T13:40:50.447,12.408,-0.036,1.119,0.331
1535604050696,2018-08-30T13:40:50.696,12.657,-0.274,0.697,0.076
1535604050696,2018-08-30T13:40:50.696,12.657,-0.143,1.016,0.136
1535604050696,2018-08-30T13:40:50.696,12.657,-0.138,0.825,0.229
1535604050942,2018-08-30T13:40:50.942,12.903,-0.120,0.751,0.258
1535604050942,2018-08-30T13:40:50.942,12.903,-0.130,0.854,0.273
1535604050942,2018-08-30T13:40:50.942,12.903,-0.171,1.045,0.328
1535604051179,2018-08-30T13:40:51.179,13.140,-0.183,1.367,0.336
1535604051179,2018-08-30T13:40:51.179,13.140,-0.038,0.862,0.160
1535604051179,2018-08-30T13:40:51.179,13.140,0.021,0.800,0.017
1535604051426,2018-08-30T13:40:51.426,13.387,-0.039,0.971,0.145
1535604051426,2018-08-30T13:40:51.426,13.387,-0.006,0.788,0.244
1535604051426,2018-08-30T13:40:51.426,13.387,-0.020,0.808,0.272
1535604051664,2018-08-30T13:40:51.664,13.625,-0.046,0.888,0.303
1535604051664,2018-08-30T13:40:51.664,13.625,-0.094,1.119,0.354
1535604051664,2018-08-30T13:40:51.664,13.625,-0.195,1.102,0.304
1535604051910,2018-08-30T13:40:51.910,13.871,-0.292,0.834,0.190
1535604051910,2018-08-30T13:40:51.910,13.871,-0.181,0.943,0.187
1535604051910,2018-08-30T13:40:51.910,13.871,-0.157,0.729,0.208
1535604052169,2018-08-30T13:40:52.169,14.130,-0.164,0.762,0.255
1535604052169,2018-08-30T13:40:52.169,14.130,-0.153,0.947,0.289
1535604052169,2018-08-30T13:40:52.169,14.130,-0.185,1.088,0.355
1535604052394,2018-08-30T13:40:52.394,14.355,-0.125,1.199,0.332
1535604052394,2018-08-30T13:40:52.394,14.355,0.008,0.810,0.167
1535604052394,2018-08-30T13:40:52.394,14.355,-0.148,0.917,0.191
1535604052642,2018-08-30T13:40:52.642,14.603,-0.134,0.808,0.227
1535604052642,2018-08-30T13:40:52.642,14.603,-0.049,0.739,0.267
1535604052642,2018-08-30T13:40:52.642,14.603,-0.040,0.896,0.346
1535604052889,2018-08-30T13:40:52.889,14.850,-0.119,1.102,0.428
1535604052889,2018-08-30T13:40:52.889,14.850,-0.219,1.208,0.391
1535604052889,2018-08-30T13:40:52.889,14.850,-0.266,0.736,0.190
1535604053125,2018-08-30T13:40:53.125,15.086,-0.169,0.848,0.165
1535604053125,2018-08-30T13:40:53.125,15.086,-0.198,0.789,0.226
1535604053125,2018-08-30T13:40:53.125,15.086,-0.161,0.813,0.272
1535604053377,2018-08-30T13:40:53.377,15.338,-0.159,0.934,0.314
1535604053377,2018-08-30T13:40:53.377,15.338,-0.193,1.014,0.370
1535604053377,2018-08-30T13:40:53.377,15.338,-0.146,1.233,0.336
1535604053621,2018-08-30T13:40:53.621,15.582,0.011,0.833,0.164
1535604053621,2018-08-30T13:40:53.621,15.582,-0.134,0.912,0.167
1535604053621,2018-08-30T13:40:53.621,15.582,-0.125,0.842,0.229
1535604053857,2018-08-30T13:40:53.857,15.818,-0.054,0.758,0.288
1535604053857,2018-08-30T13:40:53.857,15.818,-0.051,0.829,0.292
1535604053857,2018-08-30T13:40:53.857,15.818,-0.121,1.000,0.282
1535604054104,2018-08-30T13:40:54.104,16.065,-0.224,1.203,0.312
1535604054104,2018-08-30T13:40:54.104,16.065,-0.273,0.892,0.189
1535604054104,2018-08-30T13:40:54.104,16.065,-0.185,0.947,0.175
1535604054340,2018-08-30T13:40:54.340,16.301,-0.149,0.819,0.163
1535604054340,2018-08-30T13:40:54.340,16.301,-0.208,0.792,0.194
1535604054340,2018-08-30T13:40:54.340,16.301,-0.210,0.855,0.217
1535604054676,2018-08-30T13:40:54.676,16.637,-0.180,0.975,0.269
1535604054676,2018-08-30T13:40:54.676,16.637,-0.234,1.107,0.335
1535604054676,2018-08-30T13:40:54.676,16.637,-0.108,1.124,0.225
1535604054836,2018-08-30T13:40:54.836,16.797,0.021,0.790,0.117
1535604054836,2018-08-30T13:40:54.836,16.797,-0.121,0.914,0.140
1535604054836,2018-08-30T13:40:54.836,16.797,-0.078,0.865,0.204
1535604055073,2018-08-30T13:40:55.073,17.034,-0.063,0.827,0.255
1535604055073,2018-08-30T13:40:55.073,17.034,-0.063,0.872,0.294
1535604055073,2018-08-30T13:40:55.073,17.034,-0.107,1.015,0.295
1535604055320,2018-08-30T13:40:55.320,17.281,-0.137,1.239,0.314
1535604055320,2018-08-30T13:40:55.320,17.281,-0.199,0.864,0.178
1535604055320,2018-08-30T13:40:55.320,17.281,-0.230,0.826,0.087
1535604055575,2018-08-30T13:40:55.575,17.536,-0.218,0.958,0.150
1535604055575,2018-08-30T13:40:55.575,17.536,-0.173,0.760,0.227
1535604055575,2018-08-30T13:40:55.575,17.536,-0.158,0.796,0.250
1535604055803,2018-08-30T13:40:55.803,17.764,-0.191,0.955,0.258
1535604055803,2018-08-30T13:40:55.803,17.764,-0.208,1.232,0.309
1535604055803,2018-08-30T13:40:55.803,17.764,-0.118,1.165,0.179
1535604056050,2018-08-30T13:40:56.050,18.011,0.020,0.742,0.130
1535604056050,2018-08-30T13:40:56.050,18.011,-0.072,0.914,0.168
1535604056050,2018-08-30T13:40:56.050,18.011,-0.065,0.832,0.244
1535604056287,2018-08-30T13:40:56.287,18.248,-0.041,0.806,0.269
1535604056287,2018-08-30T13:40:56.287,18.248,-0.058,0.836,0.286
1535604056287,2018-08-30T13:40:56.287,18.248,-0.102,1.042,0.301
1535604056533,2018-08-30T13:40:56.533,18.494,-0.177,1.260,0.309
1535604056533,2018-08-30T13:40:56.533,18.494,-0.202,0.787,0.214
1535604056533,2018-08-30T13:40:56.533,18.494,-0.198,0.852,0.179
1535604056782,2018-08-30T13:40:56.782,18.743,-0.171,0.879,0.201
1535604056782,2018-08-30T13:40:56.782,18.743,-0.145,0.798,0.225
1535604056782,2018-08-30T13:40:56.782,18.743,-0.160,0.862,0.241
1535604057018,2018-08-30T13:40:57.018,18.979,-0.162,1.001,0.282
1535604057018,2018-08-30T13:40:57.018,18.979,-0.218,1.231,0.314
1535604057018,2018-08-30T13:40:57.018,18.979,-0.076,1.036,0.192
1535604057265,2018-08-30T13:40:57.265,19.226,0.009,0.758,0.124
1535604057265,2018-08-30T13:40:57.265,19.226,-0.133,0.922,0.208
1535604057265,2018-08-30T13:40:57.265,19.226,-0.078,0.798,0.271
1535604057513,2018-08-30T13:40:57.513,19.474,-0.044,0.785,0.299
1535604057513,2018-08-30T13:40:57.513,19.474,-0.074,0.907,0.301
1535604057513,2018-08-30T13:40:57.513,19.474,-0.119,1.124,0.338
1535604057749,2018-08-30T13:40:57.749,19.710,-0.207,1.148,0.297
1535604057749,2018-08-30T13:40:57.749,19.710,-0.229,0.719,0.195
1535604057749,2018-08-30T13:40:57.749,19.710,-0.170,0.928,0.184
